"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Nov-2022","EQ","804.95","811.90","803.05","804.30","804.80","805.05","807.50","861.15","650.20","1,278,339","1,032,259,772.30","38,851"
"28-Nov-2022","EQ","789.00","808.90","785.00","789.15","804.00","804.30","798.96","861.15","650.20","2,043,706","1,632,842,936.40","45,194"
"25-Nov-2022","EQ","798.75","799.50","780.00","792.75","788.40","789.15","788.39","861.15","650.20","2,385,612","1,880,804,103.10","46,263"
"24-Nov-2022","EQ","787.85","795.00","781.25","770.15","793.20","792.75","789.21","861.15","650.20","6,211,909","4,902,474,362.90","94,677"
"23-Nov-2022","EQ","773.10","776.00","765.00","771.30","771.00","770.15","770.04","861.15","650.20","875,779","674,381,245.35","22,040"
"22-Nov-2022","EQ","771.00","776.90","766.20","770.95","772.00","771.30","772.42","861.15","650.20","868,523","670,862,909.85","26,170"
"21-Nov-2022","EQ","774.30","775.45","762.30","775.70","770.40","770.95","769.10","861.15","650.20","760,664","585,025,928.80","24,820"
"18-Nov-2022","EQ","789.35","793.00","769.25","786.00","777.00","775.70","781.02","861.15","650.20","1,417,103","1,106,790,895.50","39,877"
"17-Nov-2022","EQ","766.00","789.45","766.00","769.55","784.50","786.00","784.11","861.15","650.20","2,944,879","2,309,107,427.95","74,382"
"16-Nov-2022","EQ","772.75","774.20","764.80","772.75","770.00","769.55","767.31","861.15","650.20","1,071,710","822,337,913.50","24,297"
"15-Nov-2022","EQ","767.75","774.00","763.50","767.75","773.65","772.75","768.02","861.15","650.20","756,436","580,954,522.05","21,028"
"14-Nov-2022","EQ","773.35","775.00","766.50","773.20","767.10","767.75","768.90","861.15","650.20","708,750","544,959,865.25","26,238"
"11-Nov-2022","EQ","772.55","779.85","770.05","768.70","771.80","773.20","774.20","861.15","650.20","921,004","713,037,070.85","34,310"
"10-Nov-2022","EQ","770.00","771.70","762.05","770.15","767.75","768.70","766.34","861.15","650.20","839,329","643,207,915.30","50,010"
"09-Nov-2022","EQ","778.50","781.80","765.85","772.15","770.20","770.15","773.21","861.15","650.20","1,256,533","971,561,640.60","32,438"
"07-Nov-2022","EQ","768.15","776.45","764.30","764.30","770.05","772.15","770.20","861.15","650.20","1,004,208","773,438,250.20","44,322"
"04-Nov-2022","EQ","761.00","767.00","759.20","762.75","766.00","764.30","763.00","861.15","650.20","940,199","717,374,810.60","58,047"
